tiff_file,entity_id_sat,row_index,col_index,gas_flare_id,cntry_name,cntry_iso,latitude,longitude,flr_volume,avg_temp,ellip,dtc_freq,clr_obs,flr_type
fire_LC80010632019222LGN00_22_17_patch.tiff,LC80010632019222LGN00,22,17,3795,United States,USA,31.496547,-103.143284,0.006502012,1853.4,1.6015,11.9454,293,upstream
fire_LC80010632019254LGN00_22_17_patch.tiff,LC80010632019254LGN00,22,17,3795,United States,USA,31.496547,-103.143284,0.006502012,1853.4,1.6015,11.9454,293,upstream
fire_LC80010852019350LGN01_26_14_patch.tiff,LC80010852019350LGN01,26,14,3811,Peru,PER,-3.606361,-80.737346,0.006462268,1813.59,1.6015,36.5854,82,upstream
fire_LC80010862019078LGN00_5_19_patch.tiff,LC80010862019078LGN00,5,19,3811,Peru,PER,-3.606361,-80.737346,0.006462268,1813.59,1.6015,36.5854,82,upstream
fire_LC80020532019213LGN00_13_5_patch.tiff,LC80020532019213LGN00,13,5,3529,Russian Federation,RUS,60.39628,64.642631,0.007486717,1709.4,1.6015,27.4436,266,upstream
fire_LC80020532019213LGN00_13_5_patch.tiff,LC80020532019213LGN00,13,5,3528,United States,USA,30.922792,-102.801116,0.007489124,1854.48,1.66089,43.0034,293,upstream
fire_LC80020532019213LGN00_17_25_patch.tiff,LC80020532019213LGN00,17,25,3661,United States,USA,47.98968,-103.003259,0.007022059,1842.95,2.02251,38.7543,289,upstream
fire_LC80020532019213LGN00_18_23_patch.tiff,LC80020532019213LGN00,18,23,3656,Russian Federation,RUS,64.372525,77.590172,0.007043546,1849.47,2.89597,40.0685,292,upstream
fire_LC80020532019213LGN00_18_23_patch.tiff,LC80020532019213LGN00,18,23,3657,South Africa,ZAF,-26.827603,27.841727,0.007041726,1655.36,1.6015,64.5051,293,refinery
fire_LC80020532019213LGN00_20_22_patch.tiff,LC80020532019213LGN00,20,22,3650,Bahrain,BHR,26.113166,50.612647,0.007054465,1335.83,0.975104,63.6054,294,refinery
fire_LC80020532019213LGN00_20_22_patch.tiff,LC80020532019213LGN00,20,22,3649,Russian Federation,RUS,67.009042,77.580294,0.0070547,1697.13,1.6015,11.9481,385,upstream
fire_LC80020532019213LGN00_20_22_patch.tiff,LC80020532019213LGN00,20,22,3652,Brazil,BRA,-25.80014,-43.262953,0.007048741,1702.47,1.6015,10.4545,220,upstream
fire_LC80020532019213LGN00_21_19_patch.tiff,LC80020532019213LGN00,21,19,3591,Canada,CAN,54.440927,-118.547679,0.007273673,1840.53,2.03187,51.0345,290,upstream
fire_LC80020532019213LGN00_21_19_patch.tiff,LC80020532019213LGN00,21,19,3582,United Kingdom,GBR,57.730558,0.971184,0.007315032,1828.47,2.08436,37.619,210,upstream
