"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Cangzhou","Cangzhou","38.3047","116.8387","China","CN","CHN","Hebei","minor","7300783","1156698069"
"Riyadh","Riyadh","24.6333","46.7167","Saudi Arabia","SA","SAU","Ar Riyāḑ","primary","7237000","1682999334"
"Santiago","Santiago","-33.4372","-70.6506","Chile","CL","CHL","Región Metropolitana","primary","7171000","1152554349"
"Xingtai","Xingtai","37.0717","114.5048","China","CN","CHN","Hebei","","7111106","1156294952"
"Zhumadian","Zhumadian","33.0140","114.0220","China","CN","CHN","Henan","","7008427","1156184822"
"Chattogram","Chattogram","22.3350","91.8325","Bangladesh","BD","BGD","Chattogram","admin","7000000","1050830722"
"Surabaya","Surabaya","-7.2458","112.7378","Indonesia","ID","IDN","Jawa Timur","admin","6998000","1360484663"
"Zhanjiang","Zhanjiang","21.2701","110.3575","China","CN","CHN","Guangdong","minor","6981236","1156502170"
"Bijie","Bijie","27.2840","105.2920","China","CN","CHN","Guizhou","","6899636","1156018927"
"Yancheng","Yancheng","33.3482","120.1626","China","CN","CHN","Jiangsu","minor","6709629","1156995410"
"Hengyang","Hengyang","26.8940","112.5720","China","CN","CHN","Hunan","","6645243","1156696884"
"Zunyi","Zunyi","27.7220","107.0310","China","CN","CHN","Guizhou","","6606675","1156539782"
"Shaoyang","Shaoyang","27.2395","111.4679","China","CN","CHN","Hunan","","6563520","1156310366"
"Sūrat","Surat","21.1702","72.8311","India","IN","IND","Gujarāt","","6538000","1356758738"
"Shangrao","Shangrao","28.4551","117.9431","China","CN","CHN","Jiangxi","minor","6435300","1156405492"
"Xinyang","Xinyang","32.1490","114.0910","China","CN","CHN","Henan","","6234401","1156273453"
"Madrid","Madrid","40.4169","-3.7033","Spain","ES","ESP","Madrid","primary","6211000","1724616994"
"Baghdad","Baghdad","33.3153","44.3661","Iraq","IQ","IRQ","Baghdād","primary","6183000","1368596238"
"Maoming","Maoming","21.6627","110.9255","China","CN","CHN","Guangdong","minor","6174050","1156568722"
"Jieyang","Jieyang","23.5510","116.3727","China","CN","CHN","Guangdong","minor","6089400","1156260378"
"Miami","Miami","25.7840","-80.2101","United States","US","USA","Florida","","6080145","1840015149"
"Singapore","Singapore","1.3000","103.8000","Singapore","SG","SGP","","primary","5983000","1702341327"
"Houston","Houston","29.7860","-95.3885","United States","US","USA","Texas","","5970127","1840020925"
"Liaocheng","Liaocheng","36.4559","115.9852","China","CN","CHN","Shandong","minor","5952128","1156006600"
"Huanggang","Huanggang","30.4537","114.8724","China","CN","CHN","Hubei","minor","5882719","1156200037"
"Dalian","Dalian","38.9000","121.6000","China","CN","CHN","Liaoning","","5871474","1156175472"
"Dallas","Dallas","32.7935","-96.7667","United States","US","USA","Texas","","5830932","1840019440"
"Qingdao","Qingdao","36.0669","120.3827","China","CN","CHN","Shandong","minor","5818255","1156112588"
"Yulin","Yulin","22.6540","110.1810","China","CN","CHN","Guangxi","minor","5796766","1156901312"
"Douala","Douala","4.0500","9.7000","Cameroon","CM","CMR","Littoral","admin","5768400","1120494607"
"Qujing","Qujing","25.4910","103.7960","China","CN","CHN","Yunnan","","5765775","1156747998"
"Nangandao","Nangandao","35.3036","113.9268","China","CN","CHN","Henan","minor","5708191","1156127660"
